year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,1316,2,1412,-3,EV,N11551,4340,EWR,BWI,38,169,13,16
2013,1,1,1320,5,1602,-3,B6,N537JB,393,LGA,MCO,140,950,13,20
2013,1,1,1323,23,1651,43,DL,N3736C,1185,EWR,SLC,295,1969,13,23
2013,1,1,1325,-5,1606,1,DL,N318US,2043,JFK,ATL,131,760,13,25
2013,1,1,1330,9,1613,37,EV,N14558,3849,EWR,IND,149,645,13,30
2013,1,1,1336,-4,1508,8,EV,N13988,4665,EWR,PIT,69,319,13,36
2013,1,1,1337,77,1649,78,B6,N636JB,673,JFK,LAX,352,2475,13,37
2013,1,1,1339,4,1654,23,B6,N510JB,431,LGA,SRQ,170,1047,13,39
2013,1,1,1341,-4,1709,4,AA,N339AA,117,JFK,LAX,362,2475,13,41
2013,1,1,1342,22,1617,73,EV,N13969,3832,EWR,STL,194,872,13,42
2013,1,1,1343,13,1658,18,AA,N3CFAA,753,LGA,DFW,235,1389,13,43
2013,1,1,1344,0,2005,21,UA,N76065,15,EWR,HNL,656,4963,13,44
2013,1,1,1346,16,1736,26,WN,N900WN,2335,EWR,PHX,334,2133,13,46
2013,1,1,1350,21,1504,11,EV,N14542,4254,EWR,BUF,57,282,14,50
2013,1,1,1353,-4,1549,24,EV,N14105,4171,EWR,MSN,152,799,14,53
2013,1,1,1355,40,1538,46,EV,N13958,4552,EWR,GSO,86,445,14,55
2013,1,1,1355,5,1537,22,WN,N7704B,2162,LGA,MDW,141,725,14,55
2013,1,1,1356,6,1612,27,MQ,N513MQ,4577,LGA,CLT,98,544,14,56
2013,1,1,1356,57,1538,60,UA,N17128,32,EWR,ORD,135,719,14,56
2013,1,1,1356,2,1537,11,UA,N840UA,617,LGA,ORD,146,733,14,56
2013,1,1,1356,6,1659,19,UA,N26906,1258,EWR,IAH,218,1400,14,56
2013,1,1,1358,8,1742,27,US,N654AW,688,EWR,PHX,318,2133,14,58
2013,1,1,1400,70,1645,103,EV,N748EV,4869,LGA,MEM,178,963,14,0
2013,1,1,1402,39,1650,84,EV,N13123,4516,EWR,MEM,183,946,14,2
2013,1,1,1408,-3,1646,6,FL,N895AT,349,LGA,ATL,133,762,14,8
2013,1,1,1411,56,1717,66,B6,N516JB,505,EWR,FLL,154,1065,14,11
2013,1,1,1416,5,1603,14,UA,N456UA,683,EWR,ORD,136,719,14,16
2013,1,1,1419,-1,1557,7,MQ,N500MQ,3728,EWR,ORD,136,719,14,19
2013,1,1,1421,26,1735,26,B6,N503JB,83,JFK,SEA,349,2422,14,21
2013,1,1,1422,12,1613,18,MQ,N737MQ,4491,LGA,CLE,93,419,14,22
2013,1,1,1424,35,1701,65,EV,N15574,4687,EWR,CVG,129,569,14,24
2013,1,1,1424,4,1659,15,EV,N678CA,4935,EWR,ATL,132,746,14,24
2013,1,1,1428,59,1803,83,B6,N635JB,355,JFK,BUR,371,2465,14,28
2013,1,1,1430,31,1718,26,UA,N563UA,278,EWR,PBI,149,1023,14,30
2013,1,1,1431,2,1727,5,B6,N562JB,1161,LGA,PBI,151,1035,14,31
2013,1,1,1431,-9,1627,11,UA,N849UA,601,EWR,CLE,91,404,14,31
2013,1,1,1436,1,1840,20,DL,N722TW,1322,JFK,SFO,375,2586,14,36
2013,1,1,1440,0,1658,15,DL,N926DL,1231,LGA,DTW,94,502,14,40
2013,1,1,1445,0,1729,19,MQ,N532MQ,4669,LGA,ATL,129,762,14,45
2013,1,1,1448,3,1651,4,US,N560UW,1445,LGA,CLT,96,544,14,48
2013,1,1,1449,-1,1651,11,MQ,N853MQ,4403,JFK,RDU,78,427,14,49
2013,1,1,1453,3,1707,22,MQ,N610MQ,4172,JFK,CLE,99,425,15,53
2013,1,1,1455,-2,1731,1,B6,N279JB,119,JFK,MSY,192,1182,15,55
2013,1,1,1455,-4,1655,10,B6,N203JB,1053,JFK,PIT,87,340,15,55
2013,1,1,1456,-4,1649,17,UA,N802UA,685,LGA,ORD,140,733,15,56
2013,1,1,1456,1,1830,17,UA,N24212,1134,EWR,AUS,252,1504,15,56
2013,1,1,1458,-2,1658,3,MQ,N736MQ,4429,LGA,CMH,94,479,15,58
2013,1,1,1459,5,1750,-1,UA,N75435,1105,EWR,TPA,152,997,15,59
2013,1,1,1500,1,1809,3,B6,N633JB,377,LGA,FLL,167,1076,15,0
2013,1,1,1502,2,1802,-4,UA,N406UA,456,EWR,FLL,156,1065,15,2
2013,1,1,1505,115,1638,127,EV,N17984,4497,EWR,RIC,63,277,15,5
2013,1,1,1506,1,1838,18,AA,N3DUAA,759,LGA,DFW,248,1389,15,6
2013,1,1,1507,-3,1748,3,MQ,N803MQ,4309,JFK,IND,130,665,15,7
2013,1,1,1508,18,1813,26,UA,N76529,1687,EWR,MCO,146,937,15,8
2013,1,1,1511,11,1753,11,DL,N678DL,2347,LGA,ATL,135,762,15,11
2013,1,1,1513,8,1714,11,EV,N13914,4223,EWR,CLT,102,529,15,13
2013,1,1,1513,-2,1705,5,MQ,N635MQ,4333,JFK,PIT,79,340,15,13
2013,1,1,1515,38,1834,52,B6,N178JB,347,JFK,SRQ,171,1041,15,15
2013,1,1,1518,2,1837,5,UA,N53442,1699,EWR,SFO,348,2565,15,18
2013,1,1,1520,50,1835,60,AA,N589AA,883,EWR,DFW,236,1372,15,20
2013,1,1,1520,0,1817,1,UA,N13750,1593,EWR,MCO,152,937,15,20
2013,1,1,1521,6,1830,7,DL,N378NW,507,LGA,MCO,145,950,15,21
2013,1,1,1522,-8,1731,6,MQ,N902MQ,4146,JFK,CMH,98,483,15,22
2013,1,1,1522,-8,1858,3,UA,N512UA,530,JFK,LAX,356,2475,15,22
2013,1,1,1523,7,1831,3,UA,N18112,1600,EWR,LAX,337,2454,15,23
2013,1,1,1524,27,1828,27,B6,N504JB,141,JFK,PBI,156,1028,15,24
2013,1,1,1525,105,1831,125,B6,N231JB,525,EWR,MCO,152,937,15,25
2013,1,1,1526,-4,1714,24,WN,N280WN,4105,EWR,MDW,141,711,15,26
2013,1,1,1527,32,1655,27,B6,N607JB,8,JFK,BUF,66,301,15,27
2013,1,1,1527,12,1854,44,UA,N69059,1695,EWR,IAH,210,1400,15,27
2013,1,1,1528,29,2002,NULL,EV,N17108,3806,EWR,STL,NULL,872,15,28
2013,1,1,1528,-2,1731,6,AA,N573AA,2223,LGA,STL,160,888,15,28
2013,1,1,1529,32,1720,46,UA,N497UA,459,EWR,ORD,138,719,15,29
2013,1,1,1531,38,1637,34,EV,N13975,4372,EWR,DCA,45,199,15,31
2013,1,1,1531,32,1745,47,EV,N15912,4572,EWR,GSP,106,594,15,31
2013,1,1,1531,11,1809,19,UA,N514UA,365,EWR,DEN,247,1605,15,31
2013,1,1,1534,4,1755,20,EV,N17115,4093,EWR,GRR,120,605,15,34
2013,1,1,1536,16,1709,19,WN,N226WN,2081,LGA,MKE,133,738,15,36
2013,1,1,1539,9,1904,-6,AA,N342AA,85,JFK,SFO,360,2586,15,39
2013,1,1,1539,2,1854,35,UA,N14250,1222,EWR,LAS,342,2227,15,39
2013,1,1,1540,122,2020,115,B6,N570JB,705,JFK,SJU,193,1598,15,40
2013,1,1,1543,-7,1933,8,DL,N688DL,1773,JFK,SLC,320,1990,15,43
2013,1,1,1546,6,1753,5,9E,N904XJ,3338,JFK,ORD,146,740,15,46
2013,1,1,1547,2,1823,8,DL,N994DL,1942,EWR,ATL,129,746,15,47
2013,1,1,1548,88,1751,91,MQ,N6EAMQ,4588,LGA,MSP,167,1020,15,48
2013,1,1,1549,64,1912,136,EV,N21197,4181,EWR,MCI,234,1092,15,49
2013,1,1,1549,1,1851,-8,UA,N54241,80,EWR,MIA,156,1085,15,49
2013,1,1,1550,0,1844,13,9E,N934XJ,3372,JFK,IND,139,665,16,50
2013,1,1,1552,-8,1732,12,EV,N825AS,5709,LGA,IAD,55,229,16,52
2013,1,1,1552,-8,1826,6,FL,N997AT,620,LGA,ATL,132,762,16,52
2013,1,1,1552,-8,1933,18,AA,N3CGAA,565,JFK,DFW,254,1391,16,52
2013,1,1,1554,-5,1857,16,DL,N918DE,847,LGA,ATL,131,762,16,54
2013,1,1,1554,-6,1830,10,MQ,N606MQ,3985,JFK,CVG,118,589,16,54
2013,1,1,1557,-3,1746,4,UA,N487UA,687,LGA,ORD,143,733,16,57
2013,1,1,1558,24,1808,65,EV,N16546,4502,EWR,BNA,168,748,16,58
2013,1,1,1558,119,1718,123,EV,N826AS,5712,JFK,IAD,53,228,16,58
2013,1,1,1558,-2,1910,7,B6,N708JB,509,EWR,FLL,166,1065,16,58
2013,1,1,1601,0,1750,15,UA,N484UA,702,EWR,ORD,141,719,16,1
2013,1,1,1603,16,1720,12,EV,N14168,3272,EWR,BUF,58,282,16,3
2013,1,1,1603,13,1751,12,B6,N316JB,917,JFK,ORD,150,740,16,3
2013,1,1,1603,3,1839,9,WN,N965WN,591,EWR,DEN,254,1605,16,3
2013,1,1,1603,-2,1818,28,MQ,N730MQ,4415,LGA,RDU,79,431,16,3
2013,1,1,1603,3,1912,6,UA,N820UA,367,EWR,FLL,162,1065,16,3
2013,1,1,1604,54,1817,67,MQ,N0EGMQ,4579,LGA,CLT,106,544,16,4
2013,1,1,1605,-5,1804,4,AA,N569AA,341,LGA,ORD,146,733,16,5
