OBJECTID,WEB_URL,PHONE,ZIP,GIS_ID,ADDRESS,NUMROOMS,NAME,X,Y,ADDRID
29,http://www.dcdaysinn.com/,202-244-5600,20008,Htl_30,4400 CONNECTICUT AVENUE NW,155,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,394312.78,142119.11,222132
30,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,202-832-5800,20002,Htl_31,2700 NEW YORK AVENUE NE,195,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,402549.67,138901.29,287175
31,http://dclofty.com/,202-506-7106,20001,Htl_32,1333 11TH STREET NW,,DC LOFTY HOSTEL,397680.45,137828.4,239320
32,http://dcembassyinn.wixsite.com/district,202-232-7800,20005,Htl_33,1440 RHODE ISLAND AVENUE NW,58,THE DISTRICT HOTEL,397116.94,137792.42,218282
33,http://www.donovanhousehotel.com/,202-737-1200,20005,Htl_34,1155 14TH STREET NW,193,KIMPTON DONOVAN HOTEL,397261.85,137470.8,242940
34,https://www.thedarcyhotel.com/,202-232-7000,20005,Htl_35,1515 RHODE ISLAND AVENUE NW,226,THE DARCY HOTEL,396920.3,137786.81,242312
35,http://www.dcinns.com/embassy.html,202-232-7744,20008,Htl_36,2224 R STREET NW,11,EMBASSY CIRCLE GUEST HOUSE,395680.15,138285.65,234892
36,http://www.embassyrowhotel.com/,202-265-1600,20036,Htl_37,2015 MASSACHUSETTS AVENUE NW,231,THE EMBASSY ROW HOTEL,396037.26,138096.8,225934
37,http://www.embassysuitesdcmetro.com/,202-362-9300,20015,Htl_38,4300 MILITARY ROAD NW,198,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,392643.24,143654.27,301908
38,http://embassysuites3.hilton.com/en/hotels/district-of-columbia/embassy-suites-washington-dc-convention-center-WASCCES/index.html,202-739-2001,20001,Htl_39,900 10TH STREET NW,382,EMBASSY SUITES BY HILTON WASHINGTON DC CONVENTION CENTER,397727.05,137129.18,300519
39,http://www3.hilton.com/en/hotels/district-of-columbia/the-district-by-hilton-club-WASVCGV/index.html,202-449-3100,20037,Htl_40,1250 22ND STREET NW,318,THE DISTRICT BY HILTON CLUB,395711.33,137666.78,242364
40,http://www.marriott.com/hotels/travel/wasfc-fairfield-inn-and-suites-washington-dc-downtown/,202-289-5959,20001,Htl_42,500 H STREET NW,189,"FAIRFIELD INN & SUITES WASHINGTON, DC/DOWNTOWN",398330.11,136867.3,242981
41,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,202-266-3000,20002,Htl_43,2305 NEW YORK AVENUE NE,126,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",402472.6,138774.41,307042
42,http://www.fourseasons.com/washington/,202-342-0444,20007,Htl_45,2800 PENNSYLVANIA AVENUE NW,222,FOUR SEASONS HOTEL,395034.79,137427.61,279626
43,http://kelloggconferencehotel.com/index.php,202-651-6000,20002,Htl_46,800 FLORIDA AVENUE NE,97,KELLOGG CONFERENCE HOTEL AT GALLAUDET UNIVERSITY,400439.78,137546.46,288964
44,https://arcthehoteldc.com,202-843-1564,20037,Htl_47,824 NEW HAMPSHIRE AVENUE NW,95,ARC THE.HOTEL,395430.48,136931.62,274009
45,http://www.georgetownhillinn.com/,202-298-6021,20007,Htl_48,1832 WISCONSIN AVENUE NW,8,GEORGETOWN HILL INN,394121.48,138623.6,274540
46,http://www.georgetowninn.com/,202-333-8900,20007,Htl_49,1310 WISCONSIN AVENUE NW,96,GEORGETOWN INN,394486.89,137707.09,279035
47,http://www.georgetownsuites.com/,202-298-7800,20007,Htl_50,1000 29TH STREET NW,222,GEORGETOWN SUITES HARBOUR,394938.04,137231.28,276422
48,http://www.acc-guhotelandconferencecenter.com/,202-687-3200,20007,Htl_51,3800 RESERVOIR ROAD NW,146,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,393470.87,138262.65,291547
49,http://www.georgetownsuites.com/,202-298-7800,20007,Htl_52,1111 30TH STREET NW,220,GEORGETWON SUITES 30TH STREET,394887.13,137391.1,294968
50,https://washingtondc.grand.hyatt.com/en/hotel/home.html,202-582-1234,20001,Htl_53,1000 H STREET NW,897,GRAND HYATT WASHINGTON,397702.33,136832.4,239368
51,http://www.hamiltonhoteldc.com/,202-682-0111,20005,Htl_54,1001 14TH STREET NW,301,HAMILTON HOTEL WASHINGTON DC,397260.09,137229.87,240644
52,http://www.thedupontcollection.com,202-359-8432,20036,Htl_81,1312 19TH STREET NW,8,INN AT DUPONT SOUTH,396210.2,137765.64,241066
53,https://igh-dc.com/,202-726-5808,20011,Htl_82,1441 KENNEDY STREET NW,12,INTERNATIONAL GUEST HOUSE,396932.7,143169.27,255891
54,http://www.jeffersondc.com/,202-448-2300,20036,Htl_83,1200 16TH STREET NW,96,"THE JEFFERSON, WASHINGTON, DC",396794.58,137565.11,242021
55,http://www.marriott.com/hotels/travel/wasjw-jw-marriott-washington-dc/,202-393-2000,20004,Htl_84,1331 PENNSYLVANIA AVENUE NW,772,JW MARRIOTT,397278.55,136502.52,279081
56,http://www.ledroitparkrenaissancebedandbreakfast.com/,202-277-7847,20001,Htl_86,210 T STREET NW,2,LEDROIT PARK BED AND BREAKFEAST,398707.99,138650.04,229977
57,http://www3.hilton.com/en/hotels/district-of-columbia/the-madison-washington-dc-a-hilton-hotel-DCAKEHH/accommodations/index.html,202-862-1600,20005,Htl_87,1177 15TH STREET NW,365,"THE MADISON WASHINGTON DC, A HILTON HOTEL",397045.73,137501.85,240251
58,https://www.mandarinoriental.com/washington/national-mall/luxury-hotel,202-554-8588,20024,Htl_88,1330 MARYLAND AVENUE SW,400,MANDARIN ORIENTAL,397358.14,135085.41,297583
59,http://www.marriott.com/hotels/travel/wasmc-washington-marriott-at-metro-center/,202-737-2200,20005,Htl_89,775 12TH STREET NW,459,MARRIOTT AT METRO CENTER,397589.74,136834.68,239130
60,http://www.melrosehoteldc.com/,202-955-6400,20037,Htl_90,2430 PENNSYLVANIA AVENUE NW,277,MELROSE GEORGETOWN HOTEL,395430.7,137240.97,279592
61,http://www.morrisonclark.com/,202-898-1200,20001,Htl_91,1011 L STREET NW,114,MORRISON-CLARK INN,397701.22,137391.54,239355
62,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,202-722-1600,20012,Htl_92,6711 GEORGIA AVENUE NW,72,MOTEL 6 WASHINGTON DC,397678.38,144905.56,285354
63,https://www.motel6.com/en/motels.dc.washington.4481.html?ncr=true,202-544-2000,20002,Htl_93,1345 4TH STREET NE,33,MOTEL 6 WASHINGTON DC - CONVENTION CENTER,400182.31,138034.17,66534
64,https://www.omnihotels.com/hotels/washington-dc-shoreham,202-234-0700,20008,Htl_95,2500 CALVERT STREET NW,832,OMNI SHOREHAM HOTEL,395346.42,139418.29,277165
65,http://www.thecirclehotel.com/,202-872-1680,20037,Htl_96,1 WASHINGTON CIRCLE NW,151,ONE WASHINGTON CIRCLE HOTEL,395686.8,137280.7,242366
66,http://parkwashington.hyatt.com/en/hotel/home.html,202-789-1234,20037,Htl_97,1201 24TH STREET NW,216,PARK HYATT WASHINGTON,395565.69,137542.45,242765
67,http://www.phoenixparkhotel.com/,202-638-6900,20001,Htl_98,520 NORTH CAPITOL STREET NW,149,PHOENIX PARK HOTEL,399177.8,136581.71,237156
68,https://www.thewinkhoteldc.com/,202-775-0800,20037,Htl_99,1143 NEW HAMPSHIRE AVENUE NW,346,THE WINK WASHINGTON DC,395874.56,137431.64,243210
69,http://www.marriott.com/hotels/travel/wasrb-renaissance-washington-dc-downtown-hotel/,202-898-9000,20001,Htl_100,999 9TH STREET NW,807,RENAISSANCE WASHINGTON DC DOWNTOWN,397945.24,137108.46,218802
70,http://www.marriott.com/hotels/travel/wasdc-residence-inn-washington-dc-downtown/,202-898-1100,20005,Htl_101,1199 VERMONT AVENUE NW,202,"RESIDENCE INN WASHINGTON, DC DOWNTOWN",397192.18,137395.97,278914
71,http://www.marriott.com/hotels/travel/wasri-residence-inn-washington-dc-dupont-circle/,202-466-6800,20037,Htl_102,2120 P STREET NW,107,"RESIDENCE INN WASHINGTON, DC/DUPONT CIRCLE",395895.68,137950.94,279547
72,https://www.marriott.com/hotels/travel/wasfg-residence-inn-washington-dc-foggy-bottom/,202-785-2000,20037,Htl_103,801 NEW HAMPSHIRE AVENUE NW,103,"RESIDENCE INN WASHINGTON, DC/FOGGY BOTTOM",395467.93,136889.66,277506
73,http://www.marriott.com/hotels/travel/wascp-residence-inn-washington-dc-capitol/,202-484-8280,20024,Htl_104,333 E STREET SW,233,"RESIDENCE INN WASHINGTON, DC/CAPITOL",398617.82,135086.41,277584
74,http://www.ritzcarlton.com/en/Properties/WashingtonDC/Default.htm,202-835-0500,20037,Htl_105,1150 22ND STREET NW,300,"THE RITZ-CARLTON, WASHINGTON, D.C.",395743.76,137408.03,278889
75,http://www.ritzcarlton.com/en/hotels/washington-dc/georgetown,202-912-4100,20007,Htl_106,3100 SOUTH STREET NW,86,RITZ-CARLTON GEORGETOWN,394648,137263.68,300061
76,http://www.theriverinn.com/,202-337-7600,20037,Htl_107,924 25TH STREET NW,125,THE RIVER INN,395340.92,137064.7,273930
77,http://www.stgregoryhotelwdc.com/,202-530-3600,20036,Htl_108,2033 M STREET NW,155,SAINT GREGORY,395985.66,137561.81,279520
78,https://www.gloverparkhotel.com,202-337-9700,20007,Htl_109,2505 WISCONSIN AVENUE NW,150,KIMPTON GLOVER PARK HOTEL,393691.04,139495.11,301508
79,http://www.starwoodhotels.com/stregis/property/overview/index.html?propertyID=193,202-638-2626,20006,Htl_110,923 16TH STREET NW,193,"THE ST. REGIS WASHINGTON, D.C.",396868.95,137139.51,242334
80,http://www.stateplaza.com/,202-861-8200,20037,Htl_111,2117 E STREET NW,460,STATE PLAZA HOTEL,395879.38,136504.72,242537
81,http://swannhouse.com/,202-265-4414,20009,Htl_112,1808 NEW HAMPSHIRE AVENUE NW,12,SWANN HOUSE LLC,396593.36,138522.13,241551
82,http://www.tabardinn.com/,202-785-1277,20036,Htl_113,1739 N STREET NW,40,TABARD INN,396531.39,137733.56,218468
83,http://www.thebaronhotel.com/,202-293-1887,20037,Htl_114,1523 22ND STREET NW,53,THE BARON HOTEL,395795.46,138049.28,225698
84,http://www.theconcordia.com/,202-557-2000,20036,Htl_116,1250 NEW HAMPSHIRE AVENUE NW,121,THE CONCORDIA,395929.32,137614.63,279009
85,http://www.doylecollection.com/locations/washington_dc_hotels/the_dupont_circle_hotel.aspx,202-483-6000,20036,Htl_118,1500 NEW HAMPSHIRE AVENUE NW,327,THE DUPONT CIRCLE HOTEL,396262.53,138068.42,225560
86,http://eldonsuites.com/,202-540-5000,20001,Htl_119,933 L STREET NW,50,THE ELDON LUXURY SUITES,397797.04,137397,239808
87,https://embassy-inn-hotel-dc.com/,202-234-7800,20009,Htl_120,1627 16TH STREET NW,39,THE EMBASSY INN HOTEL,396873.42,138263.7,242291
88,https://fairfaxwashingtondc.com,202-293-2100,20008,Htl_121,2100 MASSACHUSETTS AVENUE NW,259,THE FAIRFAX AT EMBASSY ROW,395921.69,138070.77,225940
89,http://www.fairmont.com/washington/,202-429-2400,20037,Htl_122,2401 M STREET NW,415,THE FAIRMONT,395509.26,137522.61,273950
90,https://www.thegrahamgeorgetown.com/,202-337-0900,20007,Htl_123,1075 THOMAS JEFFERSON STREET NW,57,THE GRAHAM GEORGETOWN,394802.56,137438.57,273855
91,http://kaloramaguesthouse.com/,202-588-8188,20008,Htl_124,2700 CATHEDRAL AVENUE NW,11,THE KALORAMA GUEST HOUSE,395185.03,140032.2,284453
92,https://www.jdvhotels.com/hotels/washington-dc/washington/liaison-capitol-hill,202-638-1616,20001,Htl_125,415 NEW JERSEY AVENUE NW,343,THE LIASON CAPITOL HILL,399073.19,136393.57,237162
93,http://omansion.com/lodging,202-496-2000,20036,Htl_126,2020 O STREET NW,49,THE MANSION ON O STREET,396016.74,137836.91,243057
94,https://www.marriott.com/hotels/travel/wasak-the-mayflower-hotel-autograph-collection/,202-347-3000,20036,Htl_127,1127 CONNECTICUT AVENUE NW,657,"THE MAYFLOWER HOTEL, AUTOGRAPH COLLECTION",396576.73,137399.13,241797
95,http://www.thenormandydc.com/,202-483-1350,20008,Htl_128,2118 WYOMING AVENUE NW,75,THE NORMANDY HOTEL,395877.57,138825.7,235029
96,https://www.redlion.com/washington-dc,202-223-4320,20036,Htl_129,1823 L STREET NW,99,HOTEL RL,396295.71,137347.68,241297
97,http://www.starwoodhotels.com/westin/property/overview/index.html?propertyID=1761,202-429-1700,20005,Htl_131,1400 M STREET NW,406,"THE WESTIN WASHINGTON, D.C. CITY CENTER",397099.84,137495.93,240254
98,http://washington.intercontinental.com/,202-628-9100,20004,Htl_132,1401 PENNSYLVANIA AVENUE NW,340,WILLARD INTERCONTINENTAL WASHINGTON D.C.,397194.15,136516.41,279129
99,http://www.topazhotel.com/,202-393-3000,20036,Htl_133,1733 N STREET NW,99,KIMPTON TOPAZ HOTEL,396555.85,137729.62,241760
100,http://www.wwashingtondc.com/,202-661-2400,20004,Htl_134,515 15TH STREET NW,317,W WASHINGTON D.C.,397103.43,136567.81,279820
101,http://washingtoncourthotel.com/,202-628-2100,20001,Htl_135,525 NEW JERSEY AVENUE NW,265,WASHINGTON COURT HOTEL,399037.23,136551.16,279827
102,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-white-house-WASHSHX/index.html,202-296-1006,20006,Htl_55,1729 H STREET NW,116,HAMPTON INN WASHINGTON DC/WHITE HOUSE,396434.21,136958.98,279355
103,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-downtown-convention-center-WASHHHX/index.html,202-842-2500,20001,Htl_56,901 6TH STREET NW,228,HAMPTON INN WASHINGTON DOWNTOWN CONVENTION CENTER,398295.53,137103.05,300640
104,http://www.hayadams.com/,202-638-6600,20006,Htl_57,800 16TH STREET NW,145,THE HAY-ADAMS,396794.25,136964.26,279937
105,http://www.henleypark.com/,202-638-5200,20001,Htl_58,926 MASSACHUSETTS AVENUE NW,96,HENLEY PARK HOTEL,397770.07,137254.95,242922
106,http://www3.hilton.com/en/hotels/district-of-columbia/washington-hilton-DCAWHHH/index.html,202-483-3000,20009,Htl_59,1919 CONNECTICUT AVENUE NW,1070,WASHINGTON HILTON,396076.89,138733.91,242829
107,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-downtown-DCACHGI/index.html,202-783-7800,20005,Htl_60,815 14TH STREET NW,300,HILTON GARDEN INN WASHINGTON DC DOWNTOWN,397247.31,136979.78,279961
108,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-us-capitol-DCANMGI/index.html,202-408-4870,20002,Htl_61,1225 1ST STREET NE,204,HILTON GARDEN INN WASHINGTON DC/U.S. CAPITOL,399512.86,137601.44,307284
109,http://www.hicapitoldc.com/,202-479-4000,20024,Htl_64,550 C STREET SW,532,HOLIDAY INN CAPITOL,398297.18,135310.64,276671
110,http://www.inndc.com/,202-483-2000,20005,Htl_65,1501 RHODE ISLAND AVENUE NW,212,HOLIDAY INN WASHINGTON DC-CENTRAL/WHITE HOUSE,396966.84,137806.79,242311
111,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-downtown-WASHWHW/index.html,202-265-8000,20005,Htl_66,1475 MASSACHUSETTS AVENUE NW,175,"HOMEWOOD SUITES WASHINGTON, D.C. DOWNTOWN",397087.19,137647,279197
112,http://www.hiusa.org/washingtondc/,202-737-2333,20001,Htl_67,1009 11TH STREET NW,250,HI WASHINGTON DC HOSTEL,397679.23,137228.7,239366
113,http://www.hotelgeorge.com/,202-347-4200,20001,Htl_68,15 E STREET NW,139,KIMPTON GEORGE HOTEL,399140.54,136505.23,237159
114,http://www.hotel-harrington.com/,202-628-8140,20004,Htl_69,436 11TH STREET NW,242,HOTEL HARRINGTON,397631.61,136457.62,300863
115,https://www.masonandrookhotel.com/,202-742-3100,20005,Htl_70,1430 RHODE ISLAND AVENUE NW,178,KIMPTON MASON & ROOK HOTEL,397137.34,137802.82,279165
116,http://www.hotellombardy.com/,202-828-2600,20006,Htl_71,2019 PENNSYLVANIA AVENUE NW,140,HOTEL LOMBARDY,396016.94,137076.17,307825
117,http://www.hotelmadera.com/,202-296-7600,20036,Htl_72,1310 NEW HAMPSHIRE AVENUE NW,82,KIMPTON HOTEL MADERA,396031.56,137753.59,243325
118,http://www.monaco-dc.com/,202-628-7177,20004,Htl_73,700 F STREET NW,183,KIMPTON HOTEL MONACO,398051.36,136571.24,301590
119,http://www.hotelpalomar-dc.com/,202-448-1800,20037,Htl_74,2121 P STREET NW,335,KIMPTON HOTEL PALOMAR WASHINGTON DC,395887.77,137995.72,225942
120,http://www.rougehotel.com/,202-232-8000,20036,Htl_75,1315 16TH STREET NW,137,KIMPTON ROUGE HOTEL,396866.29,137823.52,242317
121,http://www.sofitel.com/gb/hotel-3293-sofitel-washington-dc-lafayette-square/index.shtml,202-730-8800,20005,Htl_76,806 15TH STREET NW,237,SOFITEL WASHINGTON DC LAFAYETTE SQUARE,397051.78,136961.98,279949
122,https://www.wyndhamhotels.com/hojo/washington-district-of-columbia/howard-johnson-express-inn-washington-dc/overview,202-546-9200,20002,Htl_77,600 NEW YORK AVENUE NE,53,HOWARD JOHNSON BY WYNDHAM WASHINGTON DC,400381.05,138273.43,288753
123,http://washingtonregency.hyatt.com/en/hotel/home.html,202-737-1234,20001,Htl_78,400 NEW JERSEY AVENUE NW,836,HYATT REGENCY WASHINGTON ON CAPITOL HILL,398984.74,136391.14,279731
124,https://www.bedandbreakfastdc.com/accommodations/independence-house-b-b,202-328-3510 ,20003,Htl_79,504 INDEPENDENCE AVENUE SE,,INDEPENDENCE HOUSE B & B,400070.75,135549.76,14495
125,https://www.marriott.com/hotels/travel/wasco-marriott-marquis-washington-dc,202-824-9200,20001,Htl_136,901 MASSACHUSETTS AVENUE NW,1175,"MARRIOT MARQUIS WASHINGTON, DC",397900.49,137268.87,239811
126,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,202-872-1500,20037,Htl_137,1221 22ND STREET NW,470,WASHINGTON MARRIOTT GEORGETOWN,395794.15,137580.78,300163
127,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,202-328-2000,20008,Htl_138,2660 WOODLEY ROAD NW,1300,WASHINGTON MARRIOTT WARDMAN PARK,395256.86,139650.43,284450
128,http://www.washingtonplazahotel.com/,202-842-1300,20005,Htl_139,10 THOMAS CIRCLE NW,355,WASHINGTON PLAZA HOTEL,397313.44,137599.78,298252
129,http://www.westingeorgetown.com/,202-429-0100,20037,Htl_140,2350 M STREET NW,267,"THE WESTIN GEORGETOWN, WASHINGTON D.C.",395568.16,137458.44,242338
130,http://www.windsor-inn-hotel-dc.com/,202-667-0300,20009,Htl_142,1842 16TH STREET NW,58,WINDSOR INN,396795.86,138602.89,241907
131,http://www.windsorparkhotel.com/,202-483-7700,20008,Htl_143,2116 KALORAMA ROAD NW,43,WINDSOR PARK HOTEL,395789.75,138921.37,234981
132,http://www.dcinns.com/woodley.html,202-667-0218,20008,Htl_144,2647 WOODLEY ROAD NW,15,WOODLEY PARK GUEST HOUSE,395340.51,139778.29,219986
133,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-noma-union-station-DCANYHX/index.html,202-393-1001,20002,,501 NEW YORK AVENUE NE,,HAMPTON INN WASHINGTON DC NOMA UNION STATION,400267.79,138159.12,288413
134,http://conradhotels3.hilton.com/en/hotels/district-of-columbia/conrad-washington-dc-WASCICI/index.html,202-844-5900,20001,,950 NEW YORK AVENUE NW,,CONRAD WASHINGTON DC,397796.44,137065.78,309621
135,https://wharfintercontinentaldc.com,202-800-0844,20024,,801 WHARF STREET SW,,INTERCONTINENTAL WASHINGTON D.C. - THE WHARF,397826.68,134620.13,312937
136,https://www.stayalfred.com/property/stay-alfred-on-8th-street,855-923-8300,20004,,425 8TH STREET NW,,STAY ALFRED ON 8TH STREET,398029.03,136443.64,226572
137,https://www.thewatergatehotel.com,202-827-1600,20037,,2650 VIRGINIA AVENUE NW,336,THE WATERGATE HOTEL,395157.97,136832.94,279606
138,https://www.trumphotels.com/washington-dc,202-695-1100,20004,,1100 PENNSYLVANIA AVENUE NW,263,"TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.",397609.02,136250.59,293192
139,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-convention-center-WASCOHW,202-628-4663,20001,,465 NEW YORK AVENUE NW,,HOMEWOOD SUITES WASHINGTON DC CONVENTION CENTER,398413.46,137391.34,279794
140,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-capitol-navy-yard-WASCAHW/index.html,202-899-2800,20003,,50 M STREET SE,195,HOMEWOOD SUITES WASHINGTON DC CAPITOL - NAVY YARD,399369.48,134315.82,278548
141,https://dcnationalmall.place.hyatt.com/en/hotel/home.html,202-803-6110,20024,,400 E STREET SW,214,HYATT PLACE WASHINGTON DC/NATIONAL MALL,398441.4,135024.88,311526
142,https://www.marriott.com/hotels/travel/wasxr-residence-inn-washington-capitol-hill-navy-yard/,202-770-2800,20003,,1233 1ST STREET SE,,RESIDENCE INN WASHINGTON CAPITOL HILL/NAVY YARD,399461.77,134232.5,70461
143,https://www.thelinehotel.com/dc/,202-588-0525,20009,,1770 EUCLID STREET NW,,THE LINE DC,396383.72,139433.19,235625
144,https://www.eatonworkshop.com/hotel/dc,202-289-7600,20005,,1201 K STREET NW,209,EATON WASHINGTON DC,397531.09,137229.35,243282
145,https://www.birdhousebnb.com/index.htm,202-770-7059,20001,,327 T STREET NW,7,THE BIRDHOUSE BED AND BREAKFAST,398522.46,138690.31,229780
146,https://www.bedandbreakfastdc.com,202-328-3510,20005,,1339 14TH STREET NW,,BED AND BREAKFAST DC,397256.45,137853.91,229780
147,https://www.thepodhotel.com/pod-dc/,202-847-4444,20001,,627 H STREET NW,,POD HOTEL DC,398161.01,136907.11,238700
148,https://www.marriott.com/hotels/travel/wasyv-courtyard-washington-downtown-convention-center/,202-589-1800,20001,,901 L STREET NW,,COURTYARD WASHINGTON DOWNTOWN/CONVENTION CENTER,397891.94,137388.16,313138
