ID,Date of Birth,Highest Education,Marital Status,Occupation,Race,Sex,Current City,Current State,Current Zip,How long has it been since you bought new clothing?,Which is you favorite store to shop at?,Favorite Clothing to shop for?,Do you have clothing in your closet that you do not wear?,"If yes, approximately how many items?",How often do you shop?,What do you do with old clothing?,Would you be open to donating old clothing?,"If Yes, which organization would you donate to?",How often do you give charity?
20,12/5/92,Bachelor,Single,Student,White,Male,Atlanta,GA,60607,Day,Department Store,Bottoms,No,11,Yearly,Keep in closet,No ,Homeless Shelter,Always
21,8/27/96,HS Grad,Married,Employeed,Other,Male,Chicago,IL,33177,Year or more,Thrift Store,Tops,No,4,Weekly,Keep in closet,No ,American Red Cross,Rarely
22,12/8/81,Some College,Married,Employeed,White,Male,Miami,FL,91384,6 Months,Department Store,Shoes,Yes,18,Monthly,Keep in closet,Yes,Goodwill,Rarely
23,7/20/93,Bachelor,Single,Employeed,Other,Male,Los Angeles,CA,10009,Month,Department Store,Shoes,No,1,Monthly,Sell/ Pawn,No ,Thrift Store,Never
24,1/18/83,Bachelor,Single,Student,Asian,Male,New York,NY,30310,6 Months,Discount Stores,Accessories,Yes,11,Weekly,Pass down to family or friend,Yes,American Red Cross,Sometimes
25,4/15/92,HS Grad,Married,Employeed,Asian,Male,Atlanta,GA,30315,Week,Thrift Store,Tops,No,25,Weekly,Pass down to family or friend,No ,Salvation Army,Often
26,1/6/87,Bachelor,Married,Student,Black,Female,Atlanta,GA,33138,Year or more,Thrift Store,Accessories,No,19,Weekly,Throw out,Yes,Goodwill,Never
27,12/26/83,HS Grad,Single,Employeed,Other,Male,Miami,FL,91775,Year or more,Discount Stores,Accessories,Yes,10,Monthly,Keep in closet,No ,Thrift Store,Always
28,2/7/90,Some College,Single,Employeed,Asian,Male,Los Angeles,CA,60631,Week,Department Store,Shoes,No,3,Weekly,Pass down to family or friend,No ,Homeless Shelter,Sometimes
29,5/12/86,Bachelor,Dating,Employeed,Asian,Female,Chicago,IL,10015,Day,Thrift Store,Tops,Yes,21,Yearly,Pass down to family or friend,Yes,American Red Cross,Always
30,10/7/96,Bachelor,Dating,Student,Other,Male,New York,NY,90712,Year or more,Department Store,Shoes,No,20,Yearly,Sell/ Pawn,Yes,Salvation Army,Always
31,11/25/87,Some College,Dating,Student,Other,Female,Los Angeles,CA,60640,Month,Thrift Store,Bottoms,Yes,3,Yearly,Throw out,Yes,Thrift Store,Never
32,3/1/89,Some College,Single,Employeed,Other,Male,Chicago,IL,60603,6 Months,Discount Stores,Shoes,No,25,Daily,Keep in closet,Yes,Homeless Shelter,Often
33,1/12/92,Some College,Single,Employeed,Hispanic,Female,Chicago,IL,33172,Day,Thrift Store,Bottoms,No,14,Weekly,Keep in closet,Yes,American Red Cross,Often
34,11/8/89,Bachelor,Dating,Employeed,White,Male,Miami,FL,30310,Day,Discount Stores,Tops,No,25,Weekly,Sell/ Pawn,No ,Thrift Store,Often
35,5/12/95,HS Grad,Married,Student,White,Female,Atlanta,GA,33161,Week,Thrift Store,Shoes,Yes,22,Yearly,Donate,No ,Salvation Army,Often
36,7/11/92,Masters,Single,Employeed,Black,Female,Miami,FL,30326,6 Months,Department Store,Tops,No,25,Yearly,Keep in closet,No ,Local Church/Synagogue,Sometimes
37,8/14/83,Bachelor,Dating,Student,Other,Male,Atlanta,GA,91702,Week,Department Store,Shoes,Yes,17,Daily,Donate,Yes,Homeless Shelter,Never
38,3/11/87,Some College,Dating,Student,Hispanic,Female,Los Angeles,CA,33135,Year or more,Discount Stores,Bottoms,No,12,Weekly,Keep in closet,No ,Homeless Shelter,Sometimes
39,4/29/89,Bachelor,Married,Employeed,Other,Male,Miami,FL,60624,6 Months,Department Store,Accessories,Yes,10,Yearly,Keep in closet,No ,Local Church/Synagogue,Always
40,7/11/90,HS Grad,Single,Student,Other,Male,Chicago,IL,30310,Week,Discount Stores,Accessories,No,21,Monthly,Donate,No ,Local Church/Synagogue,Often
41,4/10/96,Masters,Dating,Employeed,Hispanic,Female,Atlanta,GA,33177,Day,Discount Stores,Bottoms,No,6,Monthly,Keep in closet,Yes,Local Church/Synagogue,Never
42,6/11/91,Masters,Single,Employeed,White,Female,Miami,FL,33129,6 Months,Discount Stores,Accessories,No,19,Yearly,Pass down to family or friend,Yes,Goodwill,Sometimes
43,1/9/92,Masters,Dating,Student,Other,Male,Miami,FL,33146,Month,Thrift Store,Bottoms,No,4,Weekly,Throw out,No ,Goodwill,Always
44,7/1/90,Bachelor,Married,Student,White,Female,Miami,FL,10308,Month,Thrift Store,Accessories,No,12,Weekly,Pass down to family or friend,No ,Local Church/Synagogue,Never
45,4/21/84,Masters,Married,Student,Black,Male,New York,NY,30307,6 Months,Thrift Store,Tops,No,19,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Always
46,12/21/82,Masters,Married,Student,White,Male,Atlanta,GA,33016,6 Months,Department Store,Tops,Yes,24,Weekly,Keep in closet,Yes,Thrift Store,Always
47,3/13/89,Bachelor,Married,Employeed,White,Female,Miami,FL,11211,Day,Thrift Store,Tops,No,8,Monthly,Sell/ Pawn,No ,American Red Cross,Never
48,8/20/83,Some College,Dating,Employeed,Other,Male,New York,NY,33179,6 Months,Thrift Store,Bottoms,No,7,Yearly,Pass down to family or friend,No ,Homeless Shelter,Rarely
49,8/22/84,HS Grad,Married,Employeed,Black,Female,Miami,FL,30342,Day,Department Store,Shoes,No,7,Yearly,Pass down to family or friend,Yes,American Red Cross,Never
50,2/19/91,Some College,Married,Student,White,Female,Atlanta,GA,30319,Day,Discount Stores,Bottoms,No,7,Yearly,Sell/ Pawn,No ,Thrift Store,Rarely
51,10/4/82,Bachelor,Single,Student,Black,Male,Atlanta,GA,91765,Month,Department Store,Accessories,No,10,Yearly,Sell/ Pawn,Yes,Thrift Store,Sometimes
52,4/15/84,Bachelor,Single,Employeed,Asian,Female,Los Angeles,CA,60131,Month,Discount Stores,Shoes,Yes,6,Monthly,Keep in closet,No ,Local Church/Synagogue,Often
53,8/29/82,HS Grad,Dating,Employeed,Other,Male,Chicago,IL,60631,Month,Discount Stores,Shoes,No,8,Yearly,Donate,No ,Local Church/Synagogue,Often
54,1/25/88,HS Grad,Dating,Employeed,Other,Male,Chicago,IL,11212,Year or more,Department Store,Tops,No,19,Weekly,Pass down to family or friend,No ,Salvation Army,Never
55,7/6/89,Bachelor,Married,Student,Black,Female,New York,NY,10470,Day,Thrift Store,Bottoms,No,5,Monthly,Keep in closet,No ,Homeless Shelter,Never
56,4/3/81,Some College,Married,Student,Hispanic,Male,New York,NY,60612,6 Months,Thrift Store,Accessories,No,9,Daily,Donate,No ,American Red Cross,Never
57,4/17/86,Some College,Married,Employeed,Asian,Male,Chicago,IL,11208,Day,Department Store,Shoes,No,16,Daily,Sell/ Pawn,Yes,American Red Cross,Never
58,1/25/89,Some College,Married,Employeed,Asian,Male,New York,NY,91506,Day,Discount Stores,Shoes,No,14,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Rarely
59,1/30/94,Masters,Single,Student,White,Female,Los Angeles,CA,90603,Year or more,Thrift Store,Tops,No,25,Yearly,Throw out,No ,Thrift Store,Rarely
60,9/18/95,Masters,Married,Student,Hispanic,Female,Los Angeles,CA,90723,Month,Department Store,Bottoms,No,11,Yearly,Donate,Yes,Homeless Shelter,Rarely
61,3/7/94,Bachelor,Married,Employeed,Other,Male,Los Angeles,CA,90402,Week,Discount Stores,Shoes,No,17,Daily,Sell/ Pawn,No ,Salvation Army,Often
62,11/19/88,Bachelor,Married,Student,Asian,Female,Los Angeles,CA,90604,Year or more,Department Store,Bottoms,Yes,24,Weekly,Keep in closet,No ,Thrift Store,Often
63,4/26/94,Masters,Dating,Student,Asian,Male,Los Angeles,CA,10174,Day,Thrift Store,Tops,No,18,Yearly,Sell/ Pawn,No ,Thrift Store,Often
64,1/31/82,Masters,Single,Employeed,Asian,Female,New York,NY,90804,Day,Thrift Store,Tops,Yes,10,Daily,Keep in closet,Yes,Goodwill,Never
65,7/25/87,HS Grad,Single,Employeed,Black,Male,Los Angeles,CA,30084,Day,Thrift Store,Accessories,Yes,4,Yearly,Pass down to family or friend,Yes,Local Church/Synagogue,Always
66,2/3/91,Bachelor,Married,Student,White,Male,Atlanta,GA,33129,Day,Thrift Store,Tops,No,3,Weekly,Keep in closet,No ,Homeless Shelter,Always
67,6/2/93,Some College,Dating,Employeed,Other,Male,Miami,FL,90807,Day,Discount Stores,Bottoms,No,13,Daily,Sell/ Pawn,Yes,Local Church/Synagogue,Rarely
68,2/21/92,Bachelor,Dating,Employeed,Asian,Male,Los Angeles,CA,91801,Day,Discount Stores,Accessories,Yes,13,Monthly,Sell/ Pawn,No ,Homeless Shelter,Rarely
69,11/9/90,Bachelor,Single,Employeed,Other,Female,Los Angeles,CA,30360,6 Months,Department Store,Shoes,No,11,Daily,Pass down to family or friend,No ,Goodwill,Rarely
70,8/20/96,HS Grad,Single,Student,Hispanic,Female,Atlanta,GA,60647,Year or more,Department Store,Bottoms,No,3,Weekly,Pass down to family or friend,No ,Goodwill,Always
71,2/13/94,HS Grad,Single,Student,White,Male,Chicago,IL,90650,Day,Discount Stores,Accessories,Yes,11,Yearly,Donate,No ,American Red Cross,Sometimes
72,2/9/94,Bachelor,Single,Student,Black,Female,Los Angeles,CA,10456,6 Months,Department Store,Tops,No,3,Yearly,Sell/ Pawn,No ,Salvation Army,Often
73,12/26/82,Bachelor,Single,Employeed,Asian,Female,New York,NY,33191,Month,Department Store,Accessories,No,23,Monthly,Pass down to family or friend,Yes,Homeless Shelter,Rarely
74,2/3/83,Some College,Single,Employeed,Other,Male,Miami,FL,60603,6 Months,Department Store,Accessories,Yes,17,Weekly,Throw out,Yes,Goodwill,Often
75,7/16/83,Masters,Single,Student,Asian,Male,Chicago,IL,60602,Week,Thrift Store,Bottoms,Yes,24,Weekly,Throw out,No ,Local Church/Synagogue,Always
76,4/29/93,Masters,Dating,Student,Hispanic,Male,Chicago,IL,33239,Year or more,Thrift Store,Tops,No,17,Yearly,Throw out,No ,American Red Cross,Never
77,2/25/86,Some College,Dating,Student,Black,Female,Miami,FL,91793,Day,Discount Stores,Bottoms,Yes,9,Monthly,Pass down to family or friend,No ,Thrift Store,Rarely
78,7/11/91,HS Grad,Married,Student,Hispanic,Female,Los Angeles,CA,30308,Month,Discount Stores,Shoes,Yes,8,Weekly,Donate,No ,Local Church/Synagogue,Always
79,8/2/90,Bachelor,Married,Student,Hispanic,Male,Atlanta,GA,60707,Month,Discount Stores,Tops,No,19,Daily,Sell/ Pawn,Yes,American Red Cross,Never
80,3/7/84,Masters,Single,Student,Asian,Male,Chicago,IL,10095,6 Months,Thrift Store,Bottoms,Yes,1,Yearly,Keep in closet,Yes,Homeless Shelter,Rarely
81,2/1/91,Bachelor,Married,Student,White,Female,New York,NY,93243,6 Months,Discount Stores,Bottoms,Yes,3,Weekly,Throw out,No ,Homeless Shelter,Rarely
82,9/20/95,Some College,Single,Student,Asian,Female,Los Angeles,CA,30326,Week,Department Store,Accessories,Yes,6,Weekly,Throw out,No ,Goodwill,Rarely
83,12/3/96,Masters,Married,Student,White,Male,Atlanta,GA,91505,Month,Thrift Store,Accessories,No,20,Yearly,Throw out,No ,Thrift Store,Never
84,10/14/86,Some College,Dating,Student,White,Female,Los Angeles,CA,11416,Day,Thrift Store,Bottoms,No,12,Weekly,Keep in closet,Yes,Homeless Shelter,Sometimes
85,6/12/96,Bachelor,Married,Student,Other,Male,New York,NY,30344,Year or more,Department Store,Accessories,No,7,Daily,Throw out,No ,Goodwill,Often
86,5/16/85,Bachelor,Married,Student,Black,Male,Atlanta,GA,33179,Week,Department Store,Tops,No,22,Daily,Donate,No ,Local Church/Synagogue,Often
87,5/31/93,Masters,Dating,Student,Other,Female,Miami,FL,30310,Month,Discount Stores,Accessories,Yes,24,Yearly,Sell/ Pawn,Yes,Local Church/Synagogue,Rarely
88,1/12/95,Some College,Married,Student,Black,Female,Atlanta,GA,30328,6 Months,Thrift Store,Tops,Yes,3,Monthly,Sell/ Pawn,Yes,Goodwill,Sometimes
89,9/12/81,Masters,Married,Student,White,Male,Atlanta,GA,90503,Month,Thrift Store,Tops,Yes,6,Daily,Throw out,Yes,Homeless Shelter,Rarely
90,9/4/82,HS Grad,Dating,Student,Asian,Male,Los Angeles,CA,93590,Day,Discount Stores,Tops,No,5,Monthly,Sell/ Pawn,Yes,Thrift Store,Always
91,1/12/91,HS Grad,Dating,Employeed,White,Male,Los Angeles,CA,60607,Month,Department Store,Bottoms,Yes,1,Monthly,Throw out,No ,Goodwill,Always
92,5/8/94,Masters,Married,Employeed,Hispanic,Male,Chicago,IL,60661,Day,Discount Stores,Tops,No,2,Yearly,Sell/ Pawn,Yes,Salvation Army,Rarely
93,1/10/84,Some College,Married,Employeed,White,Male,Chicago,IL,11697,Year or more,Department Store,Tops,No,21,Monthly,Keep in closet,Yes,Salvation Army,Always
94,2/3/90,Bachelor,Dating,Employeed,Asian,Female,New York,NY,60652,Day,Department Store,Bottoms,No,14,Daily,Donate,No ,Salvation Army,Always
95,2/9/91,Bachelor,Dating,Employeed,Hispanic,Male,Chicago,IL,10154,Month,Thrift Store,Tops,No,25,Daily,Sell/ Pawn,Yes,Local Church/Synagogue,Rarely
96,4/11/95,HS Grad,Dating,Employeed,Black,Female,New York,NY,10105,Week,Discount Stores,Tops,No,5,Weekly,Sell/ Pawn,Yes,Thrift Store,Rarely
97,1/10/81,Masters,Dating,Employeed,Hispanic,Female,New York,NY,91790,Week,Discount Stores,Shoes,Yes,2,Daily,Pass down to family or friend,Yes,Local Church/Synagogue,Rarely
98,8/19/82,HS Grad,Dating,Student,Asian,Female,Los Angeles,CA,60651,Day,Department Store,Shoes,Yes,25,Yearly,Keep in closet,Yes,Salvation Army,Always
99,1/20/96,Masters,Dating,Employeed,Black,Male,Chicago,IL,30312,Year or more,Thrift Store,Accessories,Yes,9,Yearly,Pass down to family or friend,No ,Salvation Army,Often
100,11/3/90,Bachelor,Dating,Student,White,Female,Atlanta,GA,33090,6 Months,Department Store,Bottoms,No,11,Weekly,Throw out,Yes,Local Church/Synagogue,Always
101,9/4/83,Masters,Married,Student,Asian,Female,Miami,FL,90247,Month,Department Store,Shoes,Yes,22,Weekly,Pass down to family or friend,No ,Homeless Shelter,Always
102,6/24/90,HS Grad,Married,Employeed,Other,Female,Los Angeles,CA,30067,Day,Department Store,Tops,Yes,10,Yearly,Keep in closet,No ,Goodwill,Never
103,9/25/90,Masters,Single,Student,Hispanic,Female,Atlanta,GA,90045,Year or more,Department Store,Tops,No,5,Yearly,Throw out,Yes,Salvation Army,Sometimes
104,7/22/87,HS Grad,Single,Employeed,Hispanic,Male,Los Angeles,CA,30340,Month,Thrift Store,Accessories,Yes,16,Monthly,Keep in closet,No ,Thrift Store,Never
105,8/5/81,Masters,Single,Employeed,Black,Female,Atlanta,GA,91381,Day,Department Store,Shoes,No,5,Monthly,Donate,Yes,Local Church/Synagogue,Always
106,11/2/83,HS Grad,Dating,Student,Asian,Female,Los Angeles,CA,60626,Day,Thrift Store,Tops,Yes,12,Daily,Donate,Yes,Goodwill,Never
107,6/1/92,HS Grad,Dating,Student,Black,Male,Chicago,IL,11378,6 Months,Thrift Store,Bottoms,No,6,Monthly,Sell/ Pawn,No ,Homeless Shelter,Always
108,6/8/89,Bachelor,Married,Student,Asian,Male,New York,NY,11236,Day,Discount Stores,Bottoms,No,16,Daily,Donate,Yes,Local Church/Synagogue,Often
109,3/22/82,HS Grad,Dating,Student,White,Male,New York,NY,10178,6 Months,Thrift Store,Bottoms,No,1,Yearly,Sell/ Pawn,Yes,Salvation Army,Always
110,12/30/91,Bachelor,Married,Student,Asian,Female,New York,NY,30319,6 Months,Discount Stores,Accessories,Yes,18,Daily,Pass down to family or friend,Yes,American Red Cross,Rarely
111,9/27/96,Bachelor,Dating,Employeed,Black,Female,Atlanta,GA,33191,6 Months,Department Store,Shoes,No,16,Daily,Keep in closet,Yes,Goodwill,Never
112,12/29/90,Bachelor,Single,Employeed,White,Male,Miami,FL,10169,Month,Discount Stores,Tops,Yes,6,Monthly,Sell/ Pawn,Yes,Goodwill,Sometimes
113,1/31/89,Bachelor,Married,Student,Black,Female,New York,NY,10302,Day,Department Store,Bottoms,Yes,23,Yearly,Pass down to family or friend,Yes,Goodwill,Always
114,3/4/83,HS Grad,Single,Student,Hispanic,Male,New York,NY,60612,Year or more,Discount Stores,Shoes,Yes,17,Yearly,Sell/ Pawn,No ,Homeless Shelter,Never
115,4/7/83,Bachelor,Married,Employeed,Black,Male,Chicago,IL,11218,Month,Discount Stores,Accessories,No,6,Weekly,Donate,No ,Salvation Army,Sometimes
116,1/23/88,Bachelor,Married,Employeed,Asian,Male,New York,NY,33016,6 Months,Discount Stores,Tops,Yes,8,Weekly,Pass down to family or friend,No ,American Red Cross,Rarely
117,3/24/94,HS Grad,Married,Student,Black,Female,Miami,FL,91108,Week,Thrift Store,Shoes,Yes,1,Monthly,Throw out,Yes,Goodwill,Rarely
118,8/9/92,Masters,Dating,Employeed,Other,Female,Los Angeles,CA,11230,Month,Thrift Store,Accessories,Yes,10,Yearly,Sell/ Pawn,No ,Salvation Army,Sometimes
119,6/11/95,Some College,Dating,Employeed,White,Female,New York,NY,33136,Year or more,Department Store,Bottoms,No,11,Daily,Donate,Yes,Thrift Store,Rarely
120,5/17/81,HS Grad,Single,Student,Asian,Male,Miami,FL,11365,Day,Thrift Store,Accessories,Yes,9,Yearly,Keep in closet,No ,Local Church/Synagogue,Always
121,11/4/95,Masters,Married,Employeed,Black,Male,New York,NY,33242,Year or more,Thrift Store,Shoes,Yes,14,Yearly,Keep in closet,Yes,Goodwill,Often
122,12/7/84,Masters,Married,Employeed,Black,Male,Miami,FL,60612,Month,Discount Stores,Accessories,No,5,Daily,Throw out,No ,Salvation Army,Never
123,7/29/85,Bachelor,Married,Student,Other,Male,Chicago,IL,11697,Year or more,Thrift Store,Tops,Yes,1,Yearly,Throw out,Yes,Local Church/Synagogue,Often
124,3/29/81,Masters,Dating,Employeed,Other,Male,New York,NY,10471,6 Months,Department Store,Bottoms,No,15,Monthly,Donate,No ,Thrift Store,Rarely
125,7/6/86,Masters,Single,Employeed,Asian,Male,New York,NY,60660,Year or more,Discount Stores,Tops,Yes,11,Monthly,Donate,Yes,Homeless Shelter,Always
126,10/2/81,Masters,Married,Student,Asian,Female,Chicago,IL,90274,Week,Department Store,Shoes,Yes,23,Monthly,Keep in closet,Yes,Local Church/Synagogue,Always
127,3/23/96,HS Grad,Single,Student,White,Male,Los Angeles,CA,90710,Month,Discount Stores,Tops,No,24,Yearly,Keep in closet,No ,American Red Cross,Sometimes
128,4/25/96,Some College,Dating,Employeed,Other,Male,Los Angeles,CA,91724,Week,Thrift Store,Shoes,Yes,1,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Often
129,1/19/93,Masters,Married,Student,White,Female,Los Angeles,CA,91206,6 Months,Thrift Store,Accessories,Yes,2,Yearly,Donate,No ,Homeless Shelter,Often
130,9/30/84,Masters,Married,Employeed,Hispanic,Male,Los Angeles,CA,11427,Month,Department Store,Bottoms,No,20,Daily,Donate,No ,American Red Cross,Sometimes
131,10/10/96,Masters,Married,Employeed,White,Female,New York,NY,30360,Day,Department Store,Tops,Yes,22,Daily,Donate,No ,Thrift Store,Often
132,2/6/83,Bachelor,Married,Employeed,Black,Male,Atlanta,GA,30324,6 Months,Thrift Store,Bottoms,No,11,Yearly,Donate,Yes,Homeless Shelter,Never
133,8/8/85,Masters,Single,Employeed,White,Female,Atlanta,GA,30306,Week,Thrift Store,Accessories,No,15,Yearly,Pass down to family or friend,No ,Salvation Army,Never
134,7/2/91,HS Grad,Single,Student,Hispanic,Male,Atlanta,GA,10468,Week,Thrift Store,Accessories,No,8,Daily,Throw out,Yes,Homeless Shelter,Never
135,12/10/91,HS Grad,Married,Employeed,White,Female,New York,NY,60639,Month,Thrift Store,Bottoms,No,23,Yearly,Throw out,No ,Thrift Store,Always
136,5/4/81,Masters,Single,Employeed,Asian,Male,Chicago,IL,10458,Day,Thrift Store,Accessories,Yes,7,Yearly,Keep in closet,No ,Salvation Army,Often
137,5/26/90,HS Grad,Single,Student,Other,Male,New York,NY,33169,Day,Department Store,Accessories,No,2,Weekly,Sell/ Pawn,Yes,American Red Cross,Often
138,7/28/85,HS Grad,Married,Employeed,Black,Female,Miami,FL,91343,Year or more,Department Store,Tops,No,23,Daily,Donate,No ,Goodwill,Rarely
139,9/1/89,HS Grad,Married,Employeed,Black,Female,Los Angeles,CA,30306,Month,Discount Stores,Tops,Yes,10,Yearly,Keep in closet,No ,American Red Cross,Always
140,6/16/94,HS Grad,Dating,Employeed,Asian,Female,Atlanta,GA,30327,6 Months,Discount Stores,Shoes,No,13,Daily,Donate,No ,Local Church/Synagogue,Never
141,6/2/93,Masters,Single,Student,White,Female,Atlanta,GA,30312,6 Months,Discount Stores,Shoes,No,10,Monthly,Pass down to family or friend,No ,Homeless Shelter,Never
142,1/28/88,HS Grad,Married,Student,Other,Male,Atlanta,GA,60613,Year or more,Department Store,Tops,Yes,21,Monthly,Pass down to family or friend,No ,Homeless Shelter,Never
143,7/23/84,Bachelor,Dating,Employeed,Hispanic,Male,Chicago,IL,30080,6 Months,Discount Stores,Shoes,No,22,Daily,Throw out,Yes,Salvation Army,Often
144,10/14/87,Some College,Dating,Employeed,Other,Male,Atlanta,GA,11201,6 Months,Thrift Store,Bottoms,No,22,Weekly,Sell/ Pawn,Yes,Homeless Shelter,Always
145,11/25/93,Masters,Single,Student,White,Male,New York,NY,30354,Year or more,Discount Stores,Tops,No,2,Weekly,Keep in closet,No ,Salvation Army,Sometimes
146,7/31/81,HS Grad,Single,Employeed,Hispanic,Male,Atlanta,GA,91352,Day,Thrift Store,Accessories,Yes,13,Daily,Donate,No ,American Red Cross,Sometimes
147,9/10/96,Bachelor,Dating,Student,Other,Male,Los Angeles,CA,10175,Week,Thrift Store,Bottoms,No,11,Daily,Throw out,No ,Local Church/Synagogue,Always
148,4/20/85,Masters,Dating,Student,White,Male,New York,NY,91401,Week,Discount Stores,Shoes,Yes,6,Daily,Throw out,No ,Thrift Store,Always
149,12/5/85,Some College,Married,Employeed,White,Female,Los Angeles,CA,60630,Day,Department Store,Tops,No,1,Weekly,Pass down to family or friend,No ,Salvation Army,Sometimes
150,11/15/92,HS Grad,Single,Employeed,Hispanic,Female,Chicago,IL,11221,Day,Department Store,Bottoms,Yes,24,Monthly,Keep in closet,Yes,Thrift Store,Always
151,5/21/90,Bachelor,Single,Employeed,Other,Female,New York,NY,11222,Day,Thrift Store,Bottoms,Yes,10,Yearly,Pass down to family or friend,No ,Local Church/Synagogue,Never
152,5/26/96,Masters,Single,Student,Hispanic,Female,New York,NY,60176,Day,Thrift Store,Bottoms,No,5,Daily,Throw out,Yes,Thrift Store,Sometimes
153,11/20/84,Masters,Married,Employeed,Hispanic,Male,Chicago,IL,60601,Day,Discount Stores,Accessories,Yes,2,Daily,Pass down to family or friend,Yes,Thrift Store,Never
154,11/25/94,Bachelor,Single,Employeed,White,Female,Chicago,IL,60636,Day,Discount Stores,Bottoms,Yes,25,Yearly,Donate,Yes,Goodwill,Rarely
155,1/12/95,Some College,Dating,Student,Black,Female,Chicago,IL,10151,Week,Department Store,Tops,No,11,Yearly,Sell/ Pawn,No ,Thrift Store,Always
156,7/31/92,Some College,Single,Student,Black,Female,New York,NY,11412,Week,Department Store,Bottoms,No,11,Weekly,Donate,No ,Local Church/Synagogue,Always
157,7/22/82,HS Grad,Dating,Student,Black,Male,New York,NY,60661,Year or more,Thrift Store,Accessories,Yes,7,Weekly,Throw out,No ,Salvation Army,Always
158,3/10/93,HS Grad,Dating,Student,Black,Male,Chicago,IL,10278,Day,Discount Stores,Shoes,Yes,3,Daily,Throw out,No ,Local Church/Synagogue,Often
159,5/20/93,Bachelor,Married,Student,Asian,Male,New York,NY,91346,Day,Thrift Store,Shoes,Yes,1,Weekly,Keep in closet,Yes,Local Church/Synagogue,Never
160,9/18/81,HS Grad,Single,Employeed,Black,Male,Los Angeles,CA,60647,Year or more,Discount Stores,Shoes,Yes,6,Monthly,Pass down to family or friend,No ,Goodwill,Often
